,accepted,date,groupNm,lat,limit,lon,place,title,waiting
266,2,2014-06-25,タネマキGAE,35.461116800000,4.0,139.615507400000,タネマキ,['夜タネマキGAE (Python/Go) もくもく勉強会 vol.2'],0
267,2,2014-06-18,タネマキGAE,35.461116800000,4.0,139.615507400000,タネマキ,['夜タネマキGAE (Python/Go) もくもく勉強会 vol.1'],0
268,11,2014-06-24,Python ボルダリング部,35.699858000000,,139.768019100000,B-PUMP Tokyo 秋葉原,['Python ボルダリング部 #46'],0
269,7,2014-06-15,Arduino+Pythonハッキング,35.617362400000,,139.780257100000,MONO,['Arduino+Python ハッカッソン(第8回)'],0
270,6,2014-06-06,コワーキングスタディ・大人の放課後,43.070375200000,8.0,141.347723600000,札幌カフェ,['Nakayoshix Maniax−Tuning Maniax 2014 Hadoopコース参戦記'],0
271,4,2014-06-08,タネマキGAE,35.461116800000,7.0,139.615507400000,タネマキ,['GAE (Python/Go) もくもく勉強会 in 横浜タネマキ vol.6'],0
272,8,2014-06-14,Python ボルダリング部,35.801449000000,,139.182894800000,御岳ボルダー,['Python ボルダリング部 #45 御岳で外岩'],0
273,21,2014-06-17,#ssmjp,35.619001000000,22.0,139.732212000000,東京都南部労政会館 第一会議室,['#ssmjp 2014/06'],0
274,7,2014-06-20,ぼちぼちHaskell勉強会＠札幌,43.063002600000,12.0,141.352845200000,北海道ビジネスサポートセンター,['ぼちぼちHaskell勉強会＠札幌 #12'],0
275,19,2014-06-14,Python mini Hack-a-thon,35.686402100000,20.0,139.703513600000,ビープラウド会議室,['(第44回)Python mini Hack-a-thon'],0
276,12,2014-06-28,TDU FEN,35.748079200000,,139.806124900000,東京電機大学 東京千住キャンパス2号館 21001教室,['TDU FEN LT #2'],0
277,1,2014-06-15,旭川Python勉強会,,,,,['C言語によるpython拡張＋他いろいろ'],0
278,30,2014-06-19, ,35.659013800000,70.0,139.703589600000,レバレジーズ本社 ( 渋谷ヒカリエ17F ),['【ヒカ☆ラボ】【VOYAGE\u3000GROUP登壇決定！！】アドテク×AWS！！そして、その裏側とは…！？'],0
279,40,2014-06-06,Machine Learning Casual Talks,35.639844400000,40.0,139.722171800000,クックパッド株式会社5F,['Machine Learning Casual Talks'],33
280,4,2014-06-25,Mathカフェ,43.070375200000,8.0,141.347723600000,札幌カフェ,['Basic Category Theory for Computer Scientists #1'],0
